SNo,Animal,Young,Female,Male,Collective noun,Collateral adjective,Culinary noun for meat
1,Aardvark,cub,sow,boar,・E,orycteropodian,
2,Albatross,chick,N/A,N/A,flock,?,
3,Alligator,hatchling,cow,bull,congregation,eusuchian,
4,Alpaca,cria,?,?,herd,camelid,
5,Ant,larva,queen,drone,army,formic,
6,Anteater,pup,sow,boar,N/A,?,
7,Antelope,calf,doe,buck,herd,alcelaphine,
8,Ape,infant,N/A,N/A,shrewdness,simian,
9,Armadillo,pup,sow,boar,N/A,cingulatan,
10,Ass,foal,jenny,jack,herd,asinine,
11,Baboon,infant,N/A,?,flange,?,
12,Badger,cub,sow,boar,cete,musteline,
13,Barracuda,?,?,?,school,percesocine,
14,Bat,pup,N/A,N/A,cloud,pteropine,
15,Bear,cub,sow,boar,sleuth,ursine,
16,Beaver,kit,N/A,N/A,family,,
17,Bee,larva,queen,drone,cast (a second swarm),apic,
18,Bison,calf,cow,bull,herd,bovine,
19,Boar (wild pig),piglet,?,?,herd,?,
20,"Buffalo, African (for American buffalo, see Bison",calf,"cow, heifer",bull,herd,?,
21,Galago,infant,N/A,N/A,gathering,galagine,
22,Butterfly,caterpillar,?,?,flight,pieridine,
23,Camel,calf,cow,bull,caravan,camelid,
24,Caribou,calf,?,?,herd,rangiferine,
25,Cat,kitten,molly,tom,clowder,feline,
26,Caterpillar,?,?,?,army,?,
27,Cattle,calf,cow,bull,herd,bovine,beef
28,Chamois,calf,doe,bull,herd,rupicaprine,
29,Cheetah,cub,?,?,coalition (male),?,
30,Chicken,chick,hen,rooster,flock,galline,poultry
31,Chimpanzee,infant,empress,blackback,troop,panine,
32,Chinchilla,kit,velvet,boar,herd,chinchilline,
33,Chough,chick,?,?,chattering,corvine,
34,Clam,larva,?,?,bed,?,
35,Cobra,?,?,?,quiver,elapid,
36,Cockroach,nymph,?,?,intrusion,blattid,
37,Cod,codling,?,?,school,gadoid,
38,Cormorant,chick,?,?,gulp,,
39,Coyote,cub,bitch,dog,pack,canine,
40,Crab,N/A,hen,cock,cast,cancrine,
41,Crane,chick,?,?,herd,alectorine,
42,Crocodile,hatchling,cow,bull,bask,crocodilian,
43,Crow,?,?,?,horde,corvine,
44,Curlew,?,?,?,herd,?,
45,Deer,calf,doe,buck,bunch,cervine,venison
46,Dinosaur,hatchling,cow,bull,herd (herbivores),dinosaurian,
47,Dog,pup,bitch,dog,pack (wild),canine,
48,Dogfish,?,?,?,troop,?,capeshark (USA)
49,Dolphin,calf,cow,bull,school,delphine,
50,Donkey,?,?,?,?,?,
