r,g,b
109,106,65
250,229,226
240,239,235
229,231,230
173,186,202
167,161,173
149,97,75
208,234,223
235,234,230
146,170,174
111,20,19
178,188,127
239,239,239
238,234,233
253,223,231
161,131,123
140,30,55
246,238,227
233,232,230
171,152,86
224,130,154
208,165,175
238,232,232
233,231,232
241,222,226
174,117,132
142,30,54
231,238,231
225,222,217
190,215,194
0,38,141
220,226,224
213,166,176
187,189,188
235,226,227
237,233,230
250,227,211
80,48,35
164,63,79
228,222,224
235,233,236
230,236,222
28,31,50
80,111,113
250,236,227
236,240,225
239,243,244
8,8,46
226,103,9
254,242,228
238,238,236
255,211,211
49,114,152
133,131,46
240,234,218
231,231,233
255,221,237
8,99,143
197,87,114
229,228,198
233,232,228
227,206,139
217,71,107
186,196,188
112,173,139
216,221,217
225,230,226
240,236,235
244,245,250
142,38,25
3,63,29
255,220,239
240,239,237
232,232,220
34,146,166
202,182,181
245,230,225
232,241,236
230,232,244
149,152,157
16,115,24
223,225,240
237,238,243
219,229,231
198,151,21
106,149,168
231,230,225
229,229,231
236,223,232
19,149,171
168,108,72
215,214,219
235,229,229
223,185,196
8,114,14
232,191,185
208,200,163
204,224,225
227,229,228
232,230,233
250,248,223
97,165,176
85,8,24
238,250,238
236,232,231
248,232,219
219,213,181
171,190,134
231,230,226
224,228,229
233,221,225
53,158,179
209,123,12
236,240,249
229,227,228
213,213,205
178,46,23
48,88,113
239,229,237
231,231,229
185,230,233
131,148,18
0,56,37
228,229,234
221,220,225
158,185,215
182,26,11
226,205,186
217,171,16
223,228,196
233,231,234
243,242,247
235,238,247
190,69,138
99,155,120
223,243,250
241,240,236
253,232,229
14,35,116
184,166,146
227,227,229
243,234,235
237,221,196
200,159,54
13,96,112
243,248,242
230,231,225
224,194,194
159,130,122
83,144,126
225,229,232
238,230,228
245,210,204
180,191,87
218,161,18
233,233,245
221,225,228
196,194,153
169,25,16
207,215,218
220,207,154
0,124,191
244,235,236
242,238,237
245,223,225
130,117,47
183,41,21
218,243,237
230,235,229
244,239,236
185,184,31
230,159,105
237,226,230
242,233,234
178,231,225
149,88,166
131,33,82
253,250,241
247,246,242
224,226,221
189,46,92
184,183,100
221,232,228
248,234,233
180,158,170
0,118,103
215,136,31
232,236,237
235,232,225
216,209,180
1,170,163
92,37,17
115,133,181
160,25,0
227,228,220
225,230,226
185,214,228
232,73,15
131,88,72
225,251,242
244,242,245
205,201,189
232,131,113
80,94,143
226,233,225
233,234,226
160,161,165
8,14,48
10,15,19
237,238,233
245,245,243
214,230,227
0,72,97
4,5,35
229,238,233
240,234,234
141,190,184
79,173,157
12,64,51
233,234,229
235,231,230
170,197,226
9,140,184
142,153,31
135,174,181
0,116,14
224,232,234
239,233,235
212,205,187
179,62,81
170,146,36
254,234,236
243,234,235
236,210,209
90,143,183
97,93,66
228,230,225
238,236,239
248,206,182
23,171,147
190,154,104
247,215,216
244,239,243
209,215,215
227,145,1
142,36,74
230,225,229
230,224,228
89,88,102
0,144,152
108,104,129
220,240,231
223,224,229
171,76,80
0,55,4
66,141,173
127,90,124
161,23,12
225,231,229
231,222,223
117,170,162
77,174,167
196,200,201
255,241,253
242,255,245
177,207,207
52,162,177
146,160,189
227,226,224
235,230,236
164,199,195
0,142,182
178,37,19
237,237,245
231,237,235
220,208,184
177,205,206
64,155,182
226,225,220
228,229,233
128,143,150
148,131,88
131,24,18
254,235,239
227,231,230
219,214,221
39,124,144
208,169,90
65,160,188
63,24,53
224,229,225
237,230,220
233,219,218
159,210,214
140,43,84
248,242,246
252,243,246
200,209,188
227,190,145
217,164,36
224,220,234
231,226,230
115,156,176
210,62,86
32,13,7
247,246,228
219,224,220
108,115,144
194,167,200
31,48,40
220,226,216
228,228,236
172,64,38
144,85,153
0,0,17
245,223,235
241,232,237
140,177,185
64,32,7
145,130,127
115,176,161
114,150,184
215,174,180
227,229,224
147,68,64
144,179,15
79,103,25
217,206,204
251,246,252
228,181,171
0,77,161
108,174,190
203,212,221
244,225,231
206,233,244
0,149,103
75,16,84
234,246,244
248,243,249
220,176,141
183,195,171
114,176,197
223,213,211
223,223,223
226,221,225
127,169,168
54,82,156
234,234,232
232,232,232
226,226,236
202,48,58
196,118,96
168,126,26
6,74,119
213,186,109
231,227,226
178,185,203
177,117,169
99,35,35
225,245,233
244,243,249
235,234,230
166,200,209
61,40,71
196,136,162
228,234,230
193,224,219
113,60,66
0,97,63
255,239,236
237,241,244
233,249,249
7,55,41
126,30,41
218,208,217
230,226,214
228,215,225
1,24,130
104,51,0
215,236,239
236,227,228
233,240,250
158,62,63
218,172,149
108,39,93
132,43,65
169,175,149
225,220,224
227,225,200
145,157,133
6,6,6
228,231,220
245,246,241
243,232,230
7,88,131
5,89,73
213,197,161
222,226,229
151,143,141
205,61,26
175,198,206
254,229,235
244,239,243
240,227,211
170,134,136
5,61,48
216,217,221
228,228,228
186,184,187
224,145,1
8,8,16
229,234,230
238,238,240
228,224,215
17,98,127
184,65,35
51,109,24
209,107,0
116,103,113
233,224,217
130,120,131
98,161,153
96,46,107
241,239,244
245,247,244
247,237,236
8,8,18
197,85,131
236,210,213
225,227,203
131,130,136
181,124,179
90,65,8
241,227,198
237,239,236
236,230,198
171,24,14
220,88,50
215,216,210
216,231,226
118,159,179
0,100,63
208,126,27
218,223,253
230,236,234
245,217,213
60,25,65
157,127,119
8,62,132
9,59,118
155,187,198
219,217,218
137,96,94
228,160,141
201,87,17
230,238,255
236,238,235
222,240,240
14,18,45
0,13,33
224,193,188
223,225,240
162,147,154
0,49,76
46,11,0
237,239,254
240,239,247
255,234,232
75,83,0
75,170,190
238,231,221
212,221,218
96,124,163
5,67,64
161,50,83
223,242,248
233,227,227
228,240,238
113,62,129
115,59,62
236,194,60
168,81,123
227,199,126
219,213,213
84,59,81
226,198,187
172,197,67
229,240,246
230,229,227
251,235,236
230,85,64
210,195,192
234,214,223
229,224,228
217,185,147
115,131,144
238,128,15
251,231,230
230,239,238
253,228,224
31,172,215
166,29,13
231,230,238
220,221,215
158,180,178
48,38,29
184,145,40
239,241,228
223,223,215
237,240,229
154,122,171
195,79,82
13,119,79
9,180,164
206,154,166
214,215,219
152,112,112
6,12,60
128,133,129
228,248,247
230,228,229
227,233,229
120,101,95
37,54,18
237,226,208
222,221,217
49,107,108
9,135,87
90,107,39
247,238,231
239,245,245
247,234,199
185,53,64
151,131,18
225,223,211
222,224,236
34,81,61
0,130,182
173,92,91
235,237,223
225,227,226
238,225,216
188,159,190
199,205,205
59,115,8
211,181,191
234,224,188
230,229,225
114,134,83
180,186,86
136,105,123
247,238,221
234,230,231
244,223,220
187,88,117
68,92,32
225,227,242
230,229,234
200,116,43
243,178,174
20,169,176
253,243,254
243,241,246
219,213,225
168,114,5
246,192,31
227,231,234
217,215,216
0,2,40
12,0,0
218,160,114
220,228,231
228,232,231
181,184,193
213,136,0
36,40,75
162,27,8
115,50,44
204,201,192
229,228,236
151,34,61
53,44,35
204,153,158
235,248,238
236,247,243
225,231,255
94,107,98
81,84,117
244,218,217
231,227,226
5,0,3
158,19,0
101,43,101
255,238,226
242,238,237
129,158,166
198,64,73
218,123,59
213,249,239
223,218,214
96,21,52
166,139,174
110,90,91
211,229,231
237,233,230
245,227,165
5,57,45
197,188,145
30,87,16
52,106,140
249,219,165
228,222,224
224,221,216
118,93,0
85,83,107
236,236,234
243,238,242
246,242,217
213,203,144
179,127,163
223,240,230
237,228,231
237,216,199
72,51,56
217,170,40
233,244,238
227,238,232
207,217,208
177,33,9
119,74,77
239,228,226
231,228,223
208,206,193
0,0,25
122,50,38
231,225,213
241,237,236
198,198,208
137,162,156
142,99,119
169,54,57
241,192,133
182,216,217
234,232,233
233,221,197
199,141,117
240,184,187
231,230,226
238,241,246
250,224,223
178,121,140
155,129,128
241,174,181
241,237,238
226,225,221
204,181,7
18,18,10
232,233,227
233,233,235
140,139,135
10,41,69
88,97,106
224,243,250
226,233,226
232,222,223
184,191,149
221,193,94
245,226,220
229,238,235
236,226,227
154,154,130
89,159,161
223,179,178
67,39,62
209,190,147
230,227,222
224,227,220
60,27,18
17,84,103
238,247,255
242,242,242
234,241,247
13,82,160
150,106,129
250,243,217
243,234,235
231,227,218
199,96,113
216,156,96
228,247,255
238,236,237
244,243,238
31,22,15
0,0,2
196,174,186
217,228,224
219,220,214
34,20,71
19,152,135
222,237,230
233,232,237
230,230,230
17,62,55
101,76,97
87,43,58
161,115,102
196,191,211
232,224,222
224,224,224
128,104,120
117,122,28
239,243,210
238,239,243
249,234,229
207,46,79
239,184,21
221,221,183
234,232,235
218,228,227
174,156,180
228,153,132
255,202,199
236,238,235
241,242,246
46,40,44
1,18,48
217,240,224
225,226,228
245,209,187
179,80,100
125,120,142
250,228,205
234,233,231
229,229,229
83,10,17
69,8,5
187,92,44
187,48,45
218,150,171
236,236,226
217,230,223
237,166,14
161,165,138
245,225,216
232,227,224
235,250,255
104,128,190
117,30,72
204,209,228
226,230,239
239,213,212
73,29,18
102,23,18
233,223,187
235,235,235
225,247,224
194,145,50
1,5,14
226,179,187
238,236,241
231,228,221
240,184,1
107,69,106
236,230,216
238,231,238
240,227,219
127,165,106
165,95,106
16,59,50
97,172,129
175,171,162
233,235,234
230,225,222
157,79,40
93,90,83
224,232,234
227,229,226
255,233,221
233,194,29
36,23,17
208,240,239
240,236,235
224,225,183
167,53,19
217,181,195
220,237,221
222,226,209
195,230,232
96,172,108
127,75,15
232,179,195
228,233,236
219,233,234
176,116,53
66,65,35
215,227,217
214,216,213
242,231,229
49,101,26
128,80,92
238,201,195
110,19,54
158,212,196
244,244,244
242,234,232
136,131,153
172,158,149
247,231,234
243,243,241
242,237,243
142,65,13
173,46,97
230,255,255
234,232,233
219,225,211
0,58,118
44,19,12
248,220,209
228,231,224
194,220,217
101,76,9
164,93,101
238,218,219
225,229,228
216,165,162
125,110,51
73,85,39
238,224,213
231,225,225
249,229,231
181,118,4
31,98,115
81,152,148
142,198,199
188,168,143
240,243,236
235,230,224
152,160,100
146,147,139
237,243,233
246,248,245
205,240,236
223,182,154
5,3,53
242,242,244
236,230,232
249,219,185
148,19,57
209,105,92
245,239,227
235,239,240
215,166,159
212,210,198
66,20,33
242,236,236
233,229,230
177,195,205
208,155,17
60,100,152
211,228,220
233,232,227
206,226,237
106,115,114
81,32,28
152,61,14
1,47,97
191,193,216
230,219,223
235,226,231
161,47,36
238,224,189
239,236,227
233,235,232
210,206,194
149,203,203
39,0,31
243,235,214
250,239,235
239,215,228
106,177,171
205,207,170
231,226,223
244,240,241
234,214,223
240,148,125
90,139,143
198,230,217
245,235,236
228,185,169
21,4,0
188,114,139
223,220,215
226,231,227
175,225,222
71,68,17
162,126,92
10,145,193
197,39,72
221,204,210
234,230,229
222,242,240
223,132,2
204,216,216
239,239,229
231,236,232
241,232,217
3,66,109
156,83,32
247,241,253
242,241,237
252,220,225
210,213,122
190,122,113
237,228,213
230,227,220
196,213,158
65,10,16
7,100,107
164,222,208
247,239,236
202,223,214
4,27,17
201,184,114
223,214,215
226,228,223
178,164,177
178,18,6
159,165,165
184,102,138
212,163,24
193,239,236
249,237,237
231,240,235
111,89,75
209,124,7
231,230,228
225,231,229
203,214,216
179,174,136
29,91,70
239,233,233
225,225,225
255,220,198
9,10,75
179,170,29
227,228,223
225,224,220
177,149,125
14,183,178
238,105,14
237,226,234
224,224,222
211,219,221
174,96,109
185,187,182
234,225,226
236,227,232
218,145,165
230,181,62
186,143,109
106,48,96
233,205,202
215,221,237
242,241,239
231,221,219
209,219,218
0,0,9
227,227,225
234,233,241
88,37,52
118,31,47
136,28,16
192,139,167
249,237,247
221,237,227
146,91,0
10,3,47
234,235,240
228,230,225
201,217,214
145,134,176
190,149,25
243,231,231
235,236,238
232,228,225
82,173,204
2,37,91
226,225,223
223,219,218
236,228,226
196,29,13
208,190,186
193,91,51
1,81,70
129,190,193
231,236,232
224,233,230
81,153,116
62,116,163
243,234,225
236,236,236
235,241,241
221,221,219
240,158,162
145,203,207
242,248,248
244,218,217
212,104,92
238,173,9
235,224,222
237,236,241
233,231,236
13,117,168
170,171,163
230,223,231
239,246,254
222,227,233
227,172,17
168,40,88
227,222,219
218,217,215
225,223,234
174,95,80
175,161,52
40,108,93
102,42,41
205,145,135
242,243,237
237,240,223
44,115,119
160,135,156
228,226,231
234,233,231
251,232,236
212,138,191
4,7,50
198,160,151
235,239,238
238,234,248
19,127,127
83,6,22
228,227,223
233,232,230
216,225,240
152,151,149
77,37,27
233,219,218
243,237,239
233,233,235
93,91,4
40,20,11
230,222,209
234,229,225
151,193,217
153,23,21
49,57,60
20,146,145
6,89,165
147,143,170
240,239,235
255,240,237
101,55,84
2,15,32
228,229,223
226,230,229
180,182,197
176,27,20
63,71,144
236,209,202
238,240,237
237,245,247
33,139,161
1,133,171
224,226,215
233,234,229
218,224,246
38,47,52
120,112,109
233,223,196
232,230,233
255,230,218
75,13,2
107,67,101
219,218,213
210,219,214
216,213,220
2,5,14
3,27,51
14,87,155
131,24,52
175,130,135
240,240,240
242,240,253
192,86,122
0,137,201
188,137,154
227,231,232
215,214,212
79,155,204
133,138,97
182,185,168
240,239,237
253,230,222
23,99,115
229,146,14
172,124,102
224,224,224
238,219,225
213,160,180
0,113,68
181,204,194
226,228,225
220,223,232
234,133,19
3,104,172
209,169,180
232,215,221
161,171,207
14,46,149
211,148,156
230,190,191
62,89,160
255,202,220
245,251,247
249,241,220
173,135,148
203,41,39
214,193,128
235,226,229
203,203,211
168,34,45
156,176,16
251,217,215
234,230,221
227,247,238
153,205,201
78,1,7
205,193,203
232,222,221
180,163,169
0,131,86
87,122,152
124,193,208
235,235,237
236,226,225
171,28,46
56,29,44
223,190,201
227,223,222
201,138,146
233,75,64
213,182,187
27,59,48
235,73,9
181,196,219
239,244,240
243,242,238
91,109,67
37,7,9
174,115,137
222,228,228
213,150,159
86,183,225
165,128,60
240,205,201
252,248,247
243,228,235
43,48,41
75,178,197
200,209,208
224,219,216
185,101,125
229,166,159
0,183,178
177,165,179
243,242,247
239,231,220
234,114,160
162,43,97
192,209,217
228,226,229
79,150,178
178,151,132
137,51,24
45,12,55
242,178,18
204,235,217
236,231,235
255,233,229
104,27,21
173,134,7
224,214,204
233,225,222
215,202,196
138,173,9
14,54,152
235,206,226
231,240,239
245,242,223
25,25,25
233,167,27
243,205,220
243,217,204
120,182,195
224,232,217
155,148,132
212,184,160
238,235,230
231,252,243
129,26,79
223,166,59
221,209,213
222,217,213
94,64,72
166,28,64
35,78,131
5,140,195
20,123,138
224,237,219
241,245,244
246,216,188
231,188,182
94,11,7
249,211,210
205,206,208
122,35,43
70,109,30
231,215,190
242,252,255
237,235,246
219,239,227
186,36,9
7,14,30
246,213,206
213,214,216
181,82,111
230,170,60
241,123,25
237,212,192
248,232,243
230,234,246
136,79,34
13,18,37
235,223,227
214,212,215
147,171,171
135,193,195
141,193,191
118,100,96
173,191,203
240,223,216
241,240,238
234,229,233
60,60,58
129,163,27
226,223,244
215,220,224
132,156,106
183,125,79
18,74,159
237,233,221
236,237,239
243,247,232
148,67,73
62,92,40
243,218,214
218,220,217
123,94,90
132,56,60
160,37,22
238,224,215
228,233,227
224,224,222
159,44,47
137,137,135
229,224,218
211,209,214
180,140,130
1,15,88
215,205,152
205,47,98
148,32,17
199,214,237
240,240,240
247,237,235
220,195,175
95,11,0
105,157,111
223,224,216
96,64,101
37,125,126
159,103,114
214,225,229
240,250,251
240,231,234
125,61,17
8,25,35
231,234,227
227,223,222
207,166,52
89,21,12
169,135,152
191,201,192
232,237,233
243,231,233
99,99,97
137,110,127
242,213,205
216,212,213
138,142,141
144,16,3
92,144,98
0,0,2
166,121,20
103,100,93
237,242,238
235,236,230
78,54,16
2,38,74
124,145,176
220,221,216
164,193,173
169,25,17
8,153,220
120,157,149
239,239,239
245,242,235
211,169,31
162,24,37
152,185,218
219,223,222
158,143,136
194,103,121
220,107,89
248,230,192
232,237,231
232,232,232
20,84,68
121,12,9
242,220,183
221,216,213
217,212,190
7,102,62
158,155,22
42,49,57
198,43,75
217,161,128
243,246,255
222,233,229
159,138,133
118,55,20
227,166,171
216,215,213
227,205,156
136,174,195
45,36,27
232,229,210
231,237,233
233,240,246
149,88,33
69,5,0
225,221,209
232,233,228
58,53,73
153,66,98
26,79,157
194,230,255
246,247,239
233,232,228
12,7,4
185,63,58
226,220,196
212,218,214
137,145,68
28,69,73
46,23,29
75,136,6
19,164,159
201,208,201
246,248,247
228,228,230
68,30,29
229,213,200
147,148,178
231,227,228
209,210,202
113,39,30
154,50,83
250,243,235
243,244,239
255,232,235
138,156,166
234,135,93
249,180,201
227,221,225
218,217,215
3,3,1
222,84,0
224,204,215
238,239,241
229,239,238
48,36,36
220,131,137
239,197,201
228,224,223
221,222,217
66,125,129
140,139,135
10,25,58
83,59,59
231,226,222
240,239,235
249,240,245
158,154,155
80,69,5
106,79,112
224,225,220
226,222,211
41,138,171
221,104,51
229,238,237
245,243,244
235,249,249
170,47,13
6,17,23
226,219,203
221,225,226
212,216,202
132,28,17
179,157,74
190,194,205
238,247,242
227,238,244
81,66,71
227,187,187
158,208,207
221,220,218
224,216,203
83,40,60
52,43,74
157,176,22
165,91,116
226,212,209
232,231,227
249,239,237
149,172,55
120,191,183
209,181,144
237,234,241
236,226,224
55,101,124
0,66,74
234,235,240
234,238,237
255,241,240
208,188,27
195,88,82
134,191,211
235,234,230
214,220,208
209,185,137
33,74,40
237,233,234
229,232,221
227,227,227
103,37,47
7,119,182
197,191,177
222,214,212
227,222,202
25,0,0
178,120,57
230,164,24
179,76,59
243,216,209
239,239,237
243,231,231
201,171,195
10,64,40
206,222,238
229,228,236
237,219,217
247,128,8
111,27,27
242,235,216
238,239,231
221,246,243
119,21,10
0,0,0
233,204,164
228,238,229
244,221,213
119,74,55
109,15,16
248,214,202
232,232,234
239,236,231
63,19,32
31,160,179
211,167,166
234,235,230
225,203,189
65,10,16
213,162,79
213,128,169
206,122,88
221,231,233
237,236,234
252,233,218
181,84,49
1,99,146
193,204,222
225,229,232
230,225,206
95,13,19
79,126,154
230,239,236
243,239,240
240,239,244
41,57,8
225,90,60
249,233,244
227,225,226
224,223,229
93,99,63
79,18,51
220,230,239
240,238,241
255,242,243
152,90,113
155,158,5
154,203,217
232,237,233
206,203,198
209,150,12
193,160,153
121,116,96
212,157,160
230,234,235
229,233,232
235,245,244
156,156,166
160,100,89
207,234,225
238,238,230
229,235,233
93,23,13
119,134,29
235,234,232
238,241,234
242,212,220
159,135,123
158,15,33
255,240,213
232,232,230
232,220,198
201,130,144
165,73,98
228,222,226
234,233,231
255,234,241
167,113,126
159,13,26
210,228,206
229,228,223
207,230,210
5,41,115
145,157,155
